Name of the Movie;IMDB;Critics(CRS);Dir_Nominated;Dir_Prized;Writ_Nominated;Writ_Prize;Act_Nominated;Acto_Prized;Action;Animation;Comedy;Drama;Other;G;PG;PG-13;R;Production Budget (PB);Box Office(US);;;;;;;;
Fences;7,3;79;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;24000000;57642961;;;;;;;;
Miss Peligirm's home of pelicular;6,7;57;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;110000000;87240689;;;;;;;;
Mother's day;5,6;18;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;25000000;32463917;;;;;;;;
The Edge of seventeen ;7,4;77;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;9000000;14260193;;;;;;;;
The Jungle Book;7,5;77;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;175000000;363995937;;;;;;;;
The Neon Demon;6,2;51;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;7000000;1330827;;;;;;;;
The Shallows;6,4;59;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;17000000;55121623;;;;;;;;
Finding Dory;7,4;77;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;200000000;486292984;;;;;;;;
Bridget Jones Baby;6,7;59;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;35000000;24089465;;;;;;;;
Nerve;6,6;58;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;20000000;38562379;;;;;;;;
10 Cloverfield lane;7,2;76;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;15000000;71897215;;;;;;;;
Mike and Dave need wedding dates;6;51;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;33000000;46007113;;;;;;;;
Now you see me 2;6,5;46;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;90000000;65030563;;;;;;;;
The BFG;6,4;66;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;140000000;55472665;;;;;;;;
Jack Reacher Never Go Back;6,1;47;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;60000000;58399160;;;;;;;;
Kubo and the two stings;7,9;84;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;60000000;48019281;;;;;;;;
Inferno;6,2;42;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;75000000;34257924;;;;;;;;
13 hours;7,3;48;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;50000000;52822418;;;;;;;;
The Conjuring 2;7,4;65;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;40000000;102461593;;;;;;;;
The Huntsman: Winter's War;6,1;35;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;115 000 000;47 952 020;;;;;;;;
Monster Trucks;5,7;41;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;125 000 000;33 038 182;;;;;;;;
Paterson;7,5;90;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;5000000;2 141 423;;;;;;;;
Rock dog;5,7;48;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;60 000 000;9 404 922;;;;;;;;
A Cure for Wellness;6,5;47;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;40 000 000;8 103 139;;;;;;;;
Bad Moms;6,2;60;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;20 000 000;113 078 694;;;;;;;;
Snowden;7,3;58;0;1;0;1;0;1;0;0;0;1;0;0;1;0;0;40 000 000;21 480 133;;;;;;;;
Central Intelligence;6,3;52;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;50 000 000;127 380 061;;;;;;;;
Allegiant;5,7;33;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;110 000 000;66 002 193;;;;;;;;
The Light Between Oceans;7,2;60;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;20 000 000;12 533 911;;;;;;;;
Lights out;6,4;58;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;4900000;67235683;;;;;;;;
Keanu;6,3;63;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;15000000;20566327;;;;;;;;
Teenage mutant ninja Turtles;6;40;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;135000000;82051601;;;;;;;;
Jackie;6,8;81;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;9000000;13958679;;;;;;;;
Gods of Egypt;5,5;25;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;140000000;31141074;;;;;;;;
Dirty Grandpa;6;18;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;27500000;35537564;;;;;;;;
Everybody wants some;7;83;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;10000000;3369431;;;;;;;;
Keeping up with Jonesses;5,8;34;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;40000000;14896798;;;;;;;;
Morgan;5,8;48;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;8000000;3912052;;;;;;;;
Alice through the looking glass;6,2;34;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;170000000;77037635;;;;;;;;
Masterminds;5,8;47;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;25000000;17356894;;;;;;;;
Neighbors 2;5,7;58;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;35000000;55291815;;;;;;;;
Pete's Dragon;6,8;71;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;65000000;76204454;;;;;;;;
The Infiltrator;7,1;66;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;28000000;15425870;;;;;;;;
20th century woman;7,4;83;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;7000000;5663855;;;;;;;;
Criminal;6,3;36;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;31500000;14268533;;;;;;;;
Logan;8,2;77;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;97000000;616795600;;;;;;;;
Wonder Woman;7,6;76;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;149000000;412563408;;;;;;;;
Guardians of the Galaxy Vol. 2;7,8;67;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;200000000;389813101;;;;;;;;
Spider-Man: Homecoming;7,6;73;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;175000000;334201140;;;;;;;;
 Dunkirk;8,3;94;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;100000000;188043731;;;;;;;;
Baby Driver;7,8;86;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;34000000;107825862;;;;;;;;
Get Out;7,7;84;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;5000000;175484140;;;;;;;;
 John Wick: Chapter 2;7,6;75;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;40000000;92029184;;;;;;;;
It;7,7;70;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;35000000;327235912;;;;;;;;
 Beauty and the Beast;7,3;65;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;160000000;504014165;;;;;;;;
Kong:Skull Island;6,7;62;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;185000000;168052812;;;;;;;;
Alien: Covenant;6,5;65;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;97000000;74243930;;;;;;;;
Pirates of the Caribbean: Dead Men Tell No Tales;6,7;39;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;230000000;172558876;;;;;;;;
Thor: Ragnarok;8,2;73;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;180000000;281747599;;;;;;;;
Blade Runner 2049;8,4;81;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;150000000;90383762;;;;;;;;
The Fate of the Furious;6,8;56;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;250000000;225764765;;;;;;;;
Life;6,6;54;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;58000000;30180466;;;;;;;;
Ghost in the Shell;6,4;52;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;110000000;40533014;;;;;;;;
 War for the Planet of the Apes;7,6;82;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;150000000;146880162;;;;;;;;
The Big Sick;7,7;86;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;5000000;42873124;;;;;;;;
Justice League;7,2;46;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;300000000;180755921;;;;;;;;
